timestamp,scenario,condition,trial,success,latency,attempts,tokens,stop_reason,confidence_score,TC,SC,MS
20260323_135100,L1-B,bl1,7,True,0.123,1,500,success,,,,
20260323_135100,L1-B,bl1,8,True,1.038,1,500,success,,,,
20260323_135100,L1-B,bl1,9,True,1.044,1,500,success,,,,
20260323_135100,L1-B,bl1,10,True,1.374,1,500,success,,,,
20260323_135100,L1-B,bl1,11,True,1.611,1,500,success,,,,
20260323_135100,L1-B,bl1,12,True,0.14,1,500,success,,,,
20260323_135100,L1-B,bl1,13,True,0.876,1,500,success,,,,
20260323_135100,L1-B,bl1,14,True,1.187,1,500,success,,,,
20260323_135100,L1-B,bl1,15,True,1.647,1,500,success,,,,
20260323_135100,L1-B,bl1,16,True,1.067,1,500,success,,,,
20260323_135100,L1-B,bl1,17,True,0.193,1,500,success,,,,
20260323_135100,L1-B,bl1,18,True,1.0,1,500,success,,,,
20260323_135100,L1-B,bl1,19,True,0.997,1,500,success,,,,
20260323_135100,L1-B,bl1,20,True,1.525,1,500,success,,,,
20260323_135100,L1-B,proposed,1,True,0.911,1,500,success,0.8,1.0,1.0,0.0
20260323_135100,L1-B,proposed,2,True,1.835,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,3,True,1.196,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,4,True,1.382,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,5,True,1.894,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,6,True,1.668,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,7,True,1.433,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,8,True,1.328,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,9,True,0.212,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,10,True,1.311,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,11,True,1.872,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,12,True,1.425,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,13,True,1.435,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,14,True,1.466,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,15,True,1.291,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,16,True,1.174,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,17,True,1.734,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,18,True,1.474,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,19,True,1.254,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-B,proposed,20,True,1.926,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,bl0,1,False,0.106,1,,error,,,,
20260323_135100,L1-C,bl0,2,False,0.142,1,,error,,,,
20260323_135100,L1-C,bl0,3,False,0.133,1,,error,,,,
20260323_135100,L1-C,bl0,4,False,0.11,1,,error,,,,
20260323_135100,L1-C,bl0,5,False,0.105,1,,error,,,,
20260323_135100,L1-C,bl0,6,False,0.13,1,,error,,,,
20260323_135100,L1-C,bl0,7,False,0.123,1,,error,,,,
20260323_135100,L1-C,bl0,8,False,0.111,1,,error,,,,
20260323_135100,L1-C,bl0,9,False,0.133,1,,error,,,,
20260323_135100,L1-C,bl0,10,False,0.132,1,,error,,,,
20260323_135100,L1-C,bl0,11,False,0.18,1,,error,,,,
20260323_135100,L1-C,bl0,12,False,0.111,1,,error,,,,
20260323_135100,L1-C,bl0,13,False,0.099,1,,error,,,,
20260323_135100,L1-C,bl0,14,False,0.118,1,,error,,,,
20260323_135100,L1-C,bl0,15,False,0.133,1,,error,,,,
20260323_135100,L1-C,bl0,16,False,0.113,1,,error,,,,
20260323_135100,L1-C,bl0,17,False,0.125,1,,error,,,,
20260323_135100,L1-C,bl0,18,False,0.117,1,,error,,,,
20260323_135100,L1-C,bl0,19,False,0.128,1,,error,,,,
20260323_135100,L1-C,bl0,20,False,0.122,1,,error,,,,
20260323_135100,L1-C,bl1,1,True,1.335,1,500,success,,,,
20260323_135100,L1-C,bl1,2,True,0.985,1,500,success,,,,
20260323_135100,L1-C,bl1,3,True,1.121,1,500,success,,,,
20260323_135100,L1-C,bl1,4,True,0.136,1,500,success,,,,
20260323_135100,L1-C,bl1,5,True,0.993,1,500,success,,,,
20260323_135100,L1-C,bl1,6,True,1.189,1,500,success,,,,
20260323_135100,L1-C,bl1,7,True,1.193,1,500,success,,,,
20260323_135100,L1-C,bl1,8,True,1.059,1,500,success,,,,
20260323_135100,L1-C,bl1,9,True,1.229,1,500,success,,,,
20260323_135100,L1-C,bl1,10,True,2.053,1,500,success,,,,
20260323_135100,L1-C,bl1,11,True,1.197,1,500,success,,,,
20260323_135100,L1-C,bl1,12,True,1.163,1,500,success,,,,
20260323_135100,L1-C,bl1,13,True,0.132,1,500,success,,,,
20260323_135100,L1-C,bl1,14,True,1.25,1,500,success,,,,
20260323_135100,L1-C,bl1,15,True,1.079,1,500,success,,,,
20260323_135100,L1-C,bl1,16,True,0.19,1,500,success,,,,
20260323_135100,L1-C,bl1,17,True,0.925,1,500,success,,,,
20260323_135100,L1-C,bl1,18,True,1.235,1,500,success,,,,
20260323_135100,L1-C,bl1,19,True,1.506,1,500,success,,,,
20260323_135100,L1-C,bl1,20,True,1.151,1,500,success,,,,
20260323_135100,L1-C,proposed,1,True,0.905,1,500,success,0.8,1.0,1.0,0.0
20260323_135100,L1-C,proposed,2,True,1.575,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,3,True,2.081,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,4,True,1.53,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,5,True,1.328,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,6,True,3.091,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,7,True,1.778,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,8,True,2.119,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,9,True,1.323,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,10,True,1.532,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,11,True,1.433,3,1500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,12,True,1.641,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,13,True,2.972,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,14,True,1.423,4,2000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,15,True,1.72,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,16,True,2.11,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,17,True,1.132,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,18,True,1.183,2,1000,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,19,True,1.389,1,500,success,1.0,1.0,1.0,1.0
20260323_135100,L1-C,proposed,20,True,1.802,3,1500,success,1.0,1.0,1.0,1.0
20260323_135100,L2-A,bl0,1,False,0.12,1,,error,,,,
20260323_135100,L2-A,bl0,2,False,0.114,1,,error,,,,
20260323_135100,L2-A,bl0,3,False,0.141,1,,error,,,,
20260323_135100,L2-A,bl0,4,False,0.132,1,,error,,,,
20260323_135100,L2-A,bl0,5,False,0.109,1,,error,,,,
20260323_135100,L2-A,bl0,6,False,0.116,1,,error,,,,
